id,name,entity,iso_code,gwno,slug,region.id,region.name,Tracker,Country,tracker_slug,base_url,tracker_url,timeline_url,process_url,actors_url,impacts_url,sub-region_geo,region_geo,central_longitude,central_latitude,country_geo,con_name_geo,search_pax
200,Equatorial Guinea,False,GNQ,411,equatorial-guinea,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,10.33309,1.702615,GNQ,Equatorial Guinea,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=200&match_any_issues=True&name=&text=&signed_after=&signed_before=
48,Eritrea,False,ERI,531,eritrea,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,38.86067,15.3628,ERI,Eritrea,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=48&match_any_issues=True&name=&text=&signed_after=&signed_before=
49,Ethiopia,False,ETH,530,ethiopia,1,Africa (excl MENA),1.0,Ethiopia,ethiopia,https://www.peaceagreements.org/tracker/,https://www.peaceagreements.org/tracker/ethiopia,https://www.peaceagreements.org/tracker/timeline/ethiopia,https://www.peaceagreements.org/tracker/process/ethiopia,https://www.peaceagreements.org/tracker/actors/ethiopia,https://www.peaceagreements.org/tracker/impacts/ethiopia,Sub-Saharan Africa,Africa,39.64475,8.619089,ETH,Ethiopia,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=49&match_any_issues=True&name=&text=&signed_after=&signed_before=
51,Fiji,False,FJI,950,fiji,3,Asia and Pacific,,,,,,,,,,Melanesia,Oceania,177.9633,-17.8354,FJI,Fiji,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=51&match_any_issues=True&name=&text=&signed_after=&signed_before=
52,France,False,FRA,220,france,4,Europe and Eurasia,,,,,,,,,,Western Europe,Europe,2.55054,46.55942,FRA,France,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=52&match_any_issues=True&name=&text=&signed_after=&signed_before=
54,Gabon,False,GAB,481,gabon,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,11.78176,-0.6239,GAB,Gabon,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=54&match_any_issues=True&name=&text=&signed_after=&signed_before=
170,Gambia,False,GMB,420,gambia,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,-15.3809,13.44801,GMB,Gambia,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=170&match_any_issues=True&name=&text=&signed_after=&signed_before=
55,Georgia,False,GEO,372,georgia,4,Europe and Eurasia,,,,,,,,,,Western Asia,Asia,45.0,42.5,,,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=55&match_any_issues=True&name=&text=&signed_after=&signed_before=
194,Germany,False,DEU,260,germany,4,Europe and Eurasia,,,,,,,,,,Western Europe,Europe,10.39228,51.11063,DEU,Federal Republic of Germany,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=194&match_any_issues=True&name=&text=&signed_after=&signed_before=
172,Ghana,False,GHA,452,ghana,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,-1.24977,7.980995,GHA,Ghana,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=172&match_any_issues=True&name=&text=&signed_after=&signed_before=
165,Greece,False,GRC,350,greece,4,Europe and Eurasia,,,,,,,,,,Southern Europe,Europe,22.0,39.0,GRC,Greece,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=165&match_any_issues=True&name=&text=&signed_after=&signed_before=
56,Guatemala,False,GTM,90,guatemala,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-90.364,15.69724,GTM,Guatemala,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=56&match_any_issues=True&name=&text=&signed_after=&signed_before=
57,Guinea,False,GIN,438,guinea,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,-10.9425,10.43545,GIN,Guinea,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=57&match_any_issues=True&name=&text=&signed_after=&signed_before=
58,Guinea-Bissau,False,GNB,404,guinea-bissau,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,-14.985,12.01013,GNB,Guinea-Bissau,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=58&match_any_issues=True&name=&text=&signed_after=&signed_before=
59,Haiti,False,HTI,41,haiti,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-72.3386,18.40248,HTI,Haiti,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=59&match_any_issues=True&name=&text=&signed_after=&signed_before=
61,Honduras,False,HND,91,honduras,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-86.6003,14.82417,HND,Honduras,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=61&match_any_issues=True&name=&text=&signed_after=&signed_before=
62,India,False,IND,750,india,3,Asia and Pacific,,,,,,,,,,Southern Asia,Asia,79.44333,23.37938,IND,India,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=62&match_any_issues=True&name=&text=&signed_after=&signed_before=
