actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,abbreviation,actor_iso3c,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,actor_desc
713,NGO_713,Council of Christian Churches of Angola,Civil Society,Religious,,,AGO,Angola,540.0,Africa,,,,1.0,,,,,,,Council of Christian Churches of Angola is a religious representative.
714,NGO_714,Inter-Ecclesiastical Council for Peace in Angol,Civil Society,Religious,,,AGO,Angola,540.0,Africa,,,,1.0,,,,,,,Inter-Ecclesiastical Council for Peace in Angol is a religious representative.
715,OTH_715,Cabinda Forum for Dialogue,Other,,,,AGO,Angola,540.0,Africa,,,,1.0,,,,,,,Cabinda Forum for Dialogue is an Other actor.
716,NGO_716,Civil Society Representative,Civil Society,Non-governmental Organization,Other,,SSD,South Sudan,626.0,Africa,,,,1.0,,,,,,,Civil Society Representative is a non-governmental organisation/civil society representative based in South Sudan.
717,NGO_717,Women's Bloc Representative,Civil Society,Non-governmental Organization,Women,,SSD,South Sudan,626.0,Africa,,,,1.0,1.0,,,,,,Women's Bloc Representative is a civil society representative for women in South Sudan.
718,UMB_718,Other Political Parties,Umbrella,,,OPP,SSD,South Sudan,626.0,Africa,,,,,,,,,OPP: Other Political Parties (South Sudan),,Other Political Parties is an Umbrella actor.
719,NGO_719,Eminent Personalities Representative,Civil Society,Non-governmental Organization,Other,,SSD,South Sudan,626.0,Africa,,,,1.0,,,,,,,Eminent Personalities Representative is a non-governmental organisation/civil society representative based in South Sudan.
720,ENT_720,Luhansk People Republic,Entity,,,,UKR,Ukraine,369.0,Europe,,,,,,,,,,,Luhansk People Republic is an entity (Ukraine).
721,ENT_721,Donetsk People Republic,Entity,,,,UKR,Ukraine,369.0,Europe,,,,,,,,,,,Donetsk People Republic is an entity (Ukraine).
722,ARM_722,Coordination of Patriotic Movements and Forces for Resistance,Armed Organization,,,CMFPR,MLI,Mali,432.0,Africa,,,,,,6348.0,CM-FPR,https://ucdp.uu.se/actor/6348,CMFPR1: Coordination of Patriotic Movements and Forces for Resistance (Plateforme),,Coordination of Patriotic Movements and Forces for Resistance (CMFPR) is an Armed Organization based in Mali.
723,ARM_723,Coalition for the Azawad Peoples,Armed Organization,,,CPA,MLI,Mali,432.0,Africa,,,,,,,,,CPA: Azawad People's Coalition,,Coalition for the Azawad Peoples (CPA) is an Armed Organization based in Mali.
724,ARM_724,National Movement for the Liberation of Azawad/Coordination of Azawad Movements,Armed Organization,,,MNLA/CMA,MLI,Mali,432.0,Africa,,,,,,1158.0,CMA,https://ucdp.uu.se/actor/1158,MNLA: National Movement for the Liberation of Azawad,CMA: Coordination of Movements of the Azawad,National Movement for the Liberation of Azawad/Coordination of Azawad Movements (MNLA/CMA) is an Armed Organization based in Mali.
725,OTH_725,General National Congress,Other,,,,LBY,Libya,620.0,Africa,,,,1.0,,,,,,,General National Congress is an Other actor.
726,OTH_726,National Transitional Council,Other,,,,LBY,Libya,620.0,Africa,,,,1.0,,1126.0,NTC,https://ucdp.uu.se/actor/1126,,,National Transitional Council is an Other actor.
727,OTH_727,House of Representatives,Other,,,,LBY,Libya,620.0,Africa,,,,1.0,,,,,,,House of Representatives is an Other actor.
728,NGO_728,Civil Society Representative,Civil Society,Non-governmental Organization,Other,,LBY,Libya,620.0,Africa,,,,1.0,,,,,,,Civil Society Representative is a non-governmental organisation/civil society representative based in Libya.
729,POL_729,Political Parties,Political Party,,,,LBY,Libya,620.0,Africa,,,,,,,,,,,Political Parties  is a Political Party based in Libya.
730,OTH_730,Tribal Leaders,Civil Society,Non-governmental Organization,Other,,LBY,Libya,620.0,Africa,,,,1.0,,,,,,,Tribal Leaders is a non-governmental organisation/civil society representative based in Libya.
731,NGO_731,Women's Organizations,Civil Society,Non-governmental Organization,Women,,LBY,Libya,620.0,Africa,,,,1.0,1.0,,,,,,Women's Organizations is a civil society representative for women in Libya.
732,UMB_732,Joint Meeting Parties,Umbrella,,,JMP,YEM,Yemen,678.0,Asia,,,,,,,,,,,Joint Meeting Parties is an Umbrella actor.
733,COA_733,Friends of Yemen,State Coalition,,,,,,,,,1.0,,,,,,,,,Friends of Yemen is an State Coalition actor.
734,UMB_734,National Democratic Alliance,Umbrella,,,NDA,YEM,Yemen,678.0,Asia,,,,,,467.0,NDA,https://ucdp.uu.se/actor/467,,,National Democratic Alliance is an Umbrella actor.
735,OTH_735,Preparatory Committee for National Dialogue,Other,,,,YEM,Yemen,678.0,Asia,,,,1.0,,,,,,,Preparatory Committee for National Dialogue is an Other actor.
736,POL_736,Yemeni Congregation for Reform,Political Party,,,,YEM,Yemen,678.0,Asia,,,,,,,,,,,Yemeni Congregation for Reform  is a Political Party based in Yemen.
737,POL_737,Solidarity Council and the Freedom Bloc,Political Party,,,,YEM,Yemen,678.0,Asia,,,,,,,,,,,Solidarity Council and the Freedom Bloc  is a Political Party based in Yemen.
