AgtId,name,iso_code,gwno,id,entity,region.name,region_geo,central_longitude,central_latitude
1721,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
1177,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1722,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
27,Haiti,HTI,41,59.0,False,Americas,Americas,-72.3386,18.40248
1870,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1628,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1485,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1462,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1486,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1313,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1463,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1723,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
346,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1724,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
249,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
1725,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
1726,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
506,Rwanda,RWA,517,116.0,False,Africa (excl MENA),Africa,29.95631,-1.99839
507,Rwanda,RWA,517,116.0,False,Africa (excl MENA),Africa,29.95631,-1.99839
475,Rwanda,RWA,517,116.0,False,Africa (excl MENA),Africa,29.95631,-1.99839
1727,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
1490,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1728,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
631,India,IND,750,62.0,False,Asia and Pacific,Asia,79.44333,23.37938
1729,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
1630,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1709,Somaliland,,,168.0,True,Africa (excl MENA),Africa,45.0,8.0
286,China,CHN,710,30.0,False,Asia and Pacific,Asia,103.93,36.56735
